insee_code,postal_code,city,populationlatitude,longitude,mayor_first_name,mayor_last_name,mayor_birthdate,first_mandate_date,party
01001,1400,L'Abergement-Clémenciat,780,46.1331001556,4.99858455549,BOULON,Daniel,1951-03-04,2008,SE
01002,1640,L'Abergement-de-Varey,234,46.0337779297,5.42151732468,ORSET,Max,1947-11-02,2008,SE
01004,1500,Ambérieu-en-Bugey,13839,45.9756078125,5.34313562094,FABRE,Daniel,1961-09-07,2014,UDI
01005,1330,Ambérieux-en-Dombes,1600,45.9976909227,5.02164504767,PERNET,Pierre,1961-07-29,2014,SE
01006,1300,Ambléon,112,45.7328309975,5.65715901636,BIONDA,Annie,1951-11-28,Error found,NA
01007,1500,Ambronay,2365,45.9756078125,5.34313562094,LEVRAT,Gisèle,1953-08-08,2014,DVG
01008,1500,Ambutrix,734,45.9756078125,5.34313562094,DELOFFRE,Dominique,1962-10-03,2014,NA
01009,1300,Andert-et-Condon,339,45.7328309975,5.65715901636,DELARUELLE,Yves,1944-01-29,1995,SE
01010,1350,Anglefort,1031,45.8543854094,5.76557245306,THIBOUD,Bernard,1948-07-06,2008,DVD
01011,1100,Apremont,374,46.2468792013,5.65226081977,GIRARD,Jean-Pierre,1951-10-30,1995,NA
01012,1110,Aranc,306,45.9724218119,5.577110369,MATHIEU,Daniel,1948-04-02,2014,NA
01013,1230,Arandas,162,45.9329292993,5.4692328328,MANOS,Lionel,1970-09-07,2014,NA
01014,1100,Arbent,3458,46.2468792013,5.65226081977,MAISSIAT,Liliane,1944-01-01,2001,UMP-LR
01015,1300,Arbignieu,484,45.7328309975,5.65715901636,BERGER,Charles,1951-04-04,2014,SE
01016,1190,Arbigny,405,46.4316836316,4.96424452785,GRAS,Daniel,1948-08-10,2014,SE
01017,1230,Argis,421,45.9329292993,5.4692328328,CHEVE,Marcel,1938-03-05,2001,NA
01019,1510,Armix,20,45.8480243468,5.61949053703,VUILLOUD,Véronique,1964-08-28,2014,NA
01021,1480,Ars-sur-Formans,1374,46.0178170669,4.81482624573,PACCAUD,Richard,1952-11-21,2014,SE
01022,1510,Artemare,1140,45.8480243468,5.61949053703,CHARMONT-MUNET,Mireille,1952-05-17,2001,UMP-LR
01023,1570,Asnières-sur-Saône,73,46.3545794503,4.88868114295,WILLEMS,Jean-Marc,1951-09-30,2005,SE
01024,1340,Attignat,3023,46.3400485451,5.13297724307,MARTIN,Walter,1966-05-07,2014,DVD
01025,1380,Bâgé-la-Ville,3114,46.3161847468,4.97400450524,REPIQUET,Dominique,1949-05-06,2008,DVD
